name,bat_style,field_style,awards,importance,1st position batting,2nd position batting,3rd position batting,4th position batting,5th position batting,6th position batting,7th position batting,runs,batting_average,batting_innings,strike_rate,fours,sixes,bowl_style,bowling_innings,wickets,bowling_average,economy_rate,5th position bowling,6th position bowling,7th position bowling,8th position bowling,8th position batting,1st position bowling,2nd position bowling,3rd position bowling,4th position bowling,9th position batting,10th position batting,11th position batting,10th position bowling,11th position bowling,9th position bowling
Jos Buttler,right-hand bat,1.0,38.0,1.043373493975903,48.5,39.37,34.5,29.11,26.37,26.31,22.2,12104.0,35.08,407.0,145.21,1093.0,515.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shreyas Iyer,right-hand bat,0.0,10.0,1.207070707070707,32.0,31.42,35.14,33.52,26.13,20.8,0.0,5974.0,33.0,217.0,133.64,505.0,247.0,"right-arm offbreak, legbreak googly",5.0,1.0,81.0,9.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rishabh Pant,left-hand bat,1.0,9.0,1.193370165745856,36.75,31.06,32.86,32.93,31.48,15.0,0.0,5022.0,31.78,191.0,145.06,460.0,228.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kagiso Rabada,left-hand bat,0.0,9.0,1.053140096618357,0.0,0.0,0.0,21.0,0.0,1.0,16.33,457.0,10.88,80.0,106.52,40.0,15.0,right-arm fast,215.0,270.0,23.55,8.02,3.0,2.0,0.0,0.0,10.43,65.0,105.0,79.0,16.0,12.0,9.66,7.25,0.0,0.0,0.0
Arshdeep Singh,left-hand bat,0.0,4.0,1.240875912408759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,10.84,37.0,111.02,13.0,5.0,left-arm medium-fast,155.0,206.0,22.26,8.45,4.0,5.0,0.0,0.0,13.0,73.0,92.0,23.0,9.0,10.25,20.5,6.6,0.0,0.0,0.0
Mitchell Starc,left-hand bat,0.0,8.0,1.532110091743119,0.0,0.0,0.0,0.0,0.0,0.0,9.33,219.0,9.52,48.0,93.19,16.0,2.0,left-arm fast,140.0,193.0,20.59,7.77,0.0,0.0,0.0,0.0,17.5,104.0,79.0,6.0,4.0,7.45,1.0,0.0,0.0,0.0,0.0
Yuzvendra Chahal,right-hand bat,0.0,12.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,4.76,44.0,53.64,1.0,0.0,legbreak googly,309.0,364.0,23.42,7.64,154.0,30.0,0.0,0.0,0.0,4.0,19.0,52.0,105.0,3.6,6.16,4.33,0.0,0.0,0.0
Liam Livingstone,right-hand bat,0.0,20.0,1.1,28.4,30.55,29.03,28.88,26.44,22.41,13.75,6754.0,27.9,274.0,143.76,448.0,409.0,"right-arm offbreak, legbreak",162.0,0.0,8.49,18.3,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Miller,left-hand bat,0.0,26.0,1.082135523613963,0.0,24.0,28.34,34.81,38.13,35.69,10.14,11139.0,35.25,471.0,137.85,794.0,499.0,right-arm offbreak,3.0,0.0,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kl Rahul,right-hand bat,1.0,17.0,1.060465116279069,47.29,38.2,24.9,49.08,20.33,25.0,0.0,7586.0,41.91,213.0,135.85,643.0,311.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Shami,right-hand bat,0.0,5.0,1.035294117647059,32.33,25.8,15.33,14.93,0.0,23.0,0.0,1694.0,22.28,82.0,114.69,182.0,36.0,"right-arm offbreak, legbreak",26.0,25.0,19.52,7.89,1.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
